description,id,mode,route_code
75 UW - NTC - Balla*,4586,b,1075
77 Jackson Park Exp*,4589,p,1077
773 West Seattle Wa*,4590,b,1773
775 Water Taxi shut*,4593,b,1775
913 Kent - Riverview,4621,b,1913
913 Kent - Riverview,4622,b,1913
935 Kenmore/Finn Hi*,4636,b,1935
935 Kenmore/Finn Hi*,4637,b,1935
952 Auburn P&R to B*,4638,p,1952
952 Auburn P&R to B*,4639,p,1952
1 kinnear,4650,b,1001
107 Rainier Beach/R*,4653,b,1107
75 UW - NTC - Balla*,4762,b,1075
775 Water Taxi shut*,4765,b,1775
102 Gig Harbor Ex SB,4792,b,2102
1 6th Ave-Pacific NB,4804,b,2001
1 6th Ave-Pacific SB,4806,b,2001
2 Bridgprt-S 19th SB,4824,b,2002
475 TCC-Olympia SB,4848,b,2475
485 Olympia-Puylp NB,4849,b,2485
48 Sheridan-M St NB,4851,b,2048
497 Lakelnd Hills NB,4853,b,2497
500 Federal Way SB,4856,b,2500
501 Miltn-Fed Way NB,4857,b,2501
566 Auburn-Overlake,4877,b,6566
567 Kent-Overlake,4880,b,6567
577 FederalWay-Seat*,4887,b,6577
577 FederalWay-Seat*,4889,b,6577
590 Seattle ExpressN,4896,b,6590
590 Seattle ExpressS,4898,b,6590
592 Seattle ExpressN,4899,b,6592
592 Seattle ExpressN,4900,b,6592
592 Seattle ExpressS,4901,b,6592
595 Seattle ExpressN,4904,b,6595
596 Bonney Lake/Sum*,4905,b,6596
62 NE Tacoma EB,4906,b,2062
KCFD SEA-VASHN PO SB,4938,f,5999
COMMTR RL EV-SEA SB,4943,c,6999
COMMTR RL LKW-SEA NB,4960,c,6998
106 Mariner P&R-Both,4962,b,3106
410 Mar P&R-Sea CBD,4963,b,3410
412 Slv Firs-Sea CBD,4964,b,3412
413 Sw Ck P&R-SeaCBD,4965,b,3413
415 N Lynn-Sea CBD,4966,b,3415
416 Edmonds-Sea CBD,4967,b,3416
417 Mukilteo-Sea CBD,4969,b,3417
421 Marysvil-Sea CBD,4970,b,3421
422 Stanwood-Sea CBD,4971,b,3422
424 Snohomsh-Sea CBD,4972,b,3424
425 Lk Stevn-Sea CBD,4973,b,3425
435 Mill Ck-Sea CBD,4975,b,3435
desc needed,4976,b,6510
desc needed,4977,b,6511
desc needed,4979,b,6513
desc needed,4981,b,6532
111 Brier-MLT P&R,4982,b,3111
821 Marysville-UW,4987,b,3821
855 Lynn TC-UW,4988,b,3855
860 McCollum P&R-UW,4989,b,3860
880 Ash Way P&R-UW,4992,b,3880
880 Mukilteo-UW,4993,b,3880
desc needed,5020,b,3227
desc needed,5024,b,3247
270 Gold Bar-Everett,5026,b,3270
106 Both-Mariner P&R,5034,b,3106
280 Lk Stevns-Evertt,5036,b,3280
402 Lynn TC-Sea CBD,5038,b,3402
405 Edmonds-Sea CBD,5039,b,3405
106 Fletcher Bay EB,5104,b,4106
11 Crosstown Ltd EB,5106,b,4011
11 Crosstown Ltd NB,5108,b,4011
11 Crosstown Ltd SB,5109,b,4011
13 Parkwood East Ltd,5119,b,4013
15 McWilliams Sht SB,5120,b,4015
15 McWilliams Sht SB,5121,b,4015
15 McWilliams Sht SB,5122,b,4015
20 Navy Yard City,5127,b,4020
20 Navy Yard City,5132,b,4020
22 Gateway Exp EB,5135,b,4022
22 Gateway Exp EB,5136,b,4022
24 Olympic Coll EB,5139,b,4024
25 East Park SB,5143,b,4025
29 Trenton Avenue SB,5147,b,4029
33 Silvrdale-Bain EB,5151,b,4033
33 Silvrdale-Bain WB,5152,b,4033
81 Annapolis Commutr,5162,b,4081
85 Mullenix Exp EB,5164,b,4085
86 Southwrth Shtl WB,5169,b,4086
90 Bainbrdge-Poulsbo,5173,b,4090
90 Poulsbo-Bainbr EB,5176,b,4090
90 Poulsbo-Bainbr EB,5177,b,4090
90 Poulsbo-Bainbr EB,5178,b,4090
90 Poulsbo-Bainbr EB,5181,b,4090
91 Bainbrdg-Kingston,5186,b,4091
91 Kingston-Bainbrdg,5187,b,4091
91 Kingston-Bainbrdg,5189,b,4091
93 Manzanita SB,5192,b,4093
94 Agate Point SB,5193,b,4094
95 Battle Point EB,5194,b,4095
96 Sunrise SB,5196,b,4096
97 Crystal Sprngs EB,5198,b,4097
98 Fort Ward NB,5199,b,4098
99 Bill Point NB,5200,b,4099
18 Mukilteo-Evt Stn,5221,b,7018
29 Coll Stn-Mall Stn,5223,b,7029
3 Evt Stn-Casino Rd,5232,b,7003
70 Mukilteo-Boeing,5241,b,7070
29 Mall Stn-Coll Stn,5249,b,7029
81 Annapolis Commut*,5261,b,4081
90 Poulsbo/Bainbrid*,5268,b,4090
542 test,5286,b,6542
Judkins / E QA,5331,b,1004
Normandy Park,5340,b,1131
Federal Way P&R Via*,5343,b,1177
A-Line Rapid Ride,5347,b,1671
CBD-NGTC via Fremon*,5375,b,1040
Route 2,5385,b,1002
Vashon Is--Tahlequa*,5394,b,1118
Dockton,5396,b,1119
C-Line Rapid Ride,5404,b,1673
Issaquah to U Dist,5408,b,1271
14SEP-Weekday-855-8*,5417,b,3821
118 Vashon Is--Tahl*,4003,b,1118
118 Vashon Is--Tahl*,4004,p,1118
119 Dockton,4005,b,1119
150 Kent-Southcente*,4010,b,1150
150 Kent-Southcente*,4011,b,1150
166 Highline C C to*,4013,b,1166
166 Highline C C to*,4014,b,1166
183 Kent/Federal Wa*,4017,b,1183
183 Kent/Federal Wa*,4018,b,1183
197 Twin Lakes P&R/*,4019,b,1197
205 Mercer Island/U*,4020,p,1205
21 35  Av SW/Arbor *,4021,b,1021
213 Covenant Shores*,4023,b,1213
213 Covenant Shores*,4024,b,1213
221 Eastgate\Redmond,4025,b,1221
221 Eastgate\Redmond,4026,b,1221
25 Laurelhurst-Lake*,4028,b,1025
25 Laurelhurst-Lake*,4029,b,1025
255 Seattle/Kirklan*,4030,b,1255
271 Issaquah to U D*,4031,b,1271
3 Route 3,4033,b,1003
3 Route 3,4034,b,1003
373 Aurora Village *,4040,p,1373
41 Lake City/Northg*,4042,b,1041
41 Lake City/Northg*,4044,b,1041
43 cbd/u-district,4045,b,1043
522 ST 522 Woodinvi*,4047,b,6522
522 ST 522 Woodinvi*,4048,b,6522
545 Redmond to CBD *,4050,b,6545
545 Redmond to CBD *,4051,b,6545
71 View Ridge,4059,p,1071
71 View Ridge,4060,p,1071
72 Lake City,4061,p,1072
72 Lake City,4062,p,1072
72 Lake City,4063,p,1072
73 Jackson Park,4064,p,1073
73 Jackson Park,4065,p,1073
73 Jackson Park,4067,p,1073
73 Jackson Park,4068,p,1073
73 Jackson Park,4069,p,1073
906 Southcenter/Fai*,4077,b,1906
914 Kent Shopper Sh*,4078,b,1914
914 Kent Shopper Sh*,4079,b,1914
915 Auburn/Enumclaw*,4080,b,1915
915 Auburn/Enumclaw*,4081,b,1915
916 Kent Shuttle (D*,4082,b,1916
916 Kent Shuttle (D*,4083,b,1916
A Line A-Line Rapid*,4085,b,1671
A Line A-Line Rapid*,4086,b,1671
B Line B-Line Rapid*,4087,b,1672
B Line B-Line Rapid*,4088,b,1672
C Line C-Line Rapid*,4089,b,1673
C Line C-Line Rapid*,4090,b,1673
D Line D-Line Rapid*,4091,b,1674
D Line D-Line Rapid*,4092,b,1674
E-Line E-Line Rapid*,4093,b,1675
E-Line E-Line Rapid*,4094,b,1675
1 kinnear,4095,b,1001
1 kinnear,4097,b,1001
10 capitol hill,4099,b,1010
10 capitol hill,4100,b,1010
101 Renton Transit *,4103,b,1101
101 Renton Transit *,4106,b,1101
105 Renton Hub - Re*,4109,b,1105
105 Renton Hub - Re*,4110,b,1105
106 Renton-Downtown*,4112,b,1106
106 Renton-Downtown*,4114,b,1106
106 Renton-Downtown*,4116,b,1106
106 Renton-Downtown*,4117,b,1106
107 Rainier Beach/R*,4118,b,1107
107 Rainier Beach/R*,4120,b,1107
11 Madison,4121,b,1011
11 Madison,4122,b,1011
118 Vashon Is--Tahl*,4131,b,1118
118 Vashon Is--Tahl*,4134,b,1118
119 Dockton,4138,b,1119
12 interlaken park,4139,b,1012
12 interlaken park,4143,b,1012
120 Burien to Seatt*,4144,b,1120
120 Burien to Seatt*,4145,b,1120
124 Tukwila - E Mar*,4155,b,1124
124 Tukwila - E Mar*,4157,b,1124
125 Westwood to CBD*,4159,b,1125
125 Westwood to CBD*,4160,b,1125
128 West Seattle-Wh*,4161,b,1128
128 West Seattle-Wh*,4162,b,1128
13 seattle pacific *,4164,b,1013
13 seattle pacific *,4166,b,1013
131 Normandy Park,4167,b,1131
131 Normandy Park,4168,b,1131
132 Des Moines,4170,b,1132
132 Des Moines,4171,b,1132
139 Burien/Gregory *,4172,b,1139
139 Burien/Gregory *,4173,b,1139
14 Mt Baker,4174,b,1014
14 Mt Baker,4177,b,1014
140 Renton to Burien,4180,b,1140
140 Renton to Burien,4183,b,1140
148 Fairwood--S.Ren*,4185,b,1148
148 Fairwood--S.Ren*,4186,b,1148
150 Kent-Southcente*,4189,b,1150
150 Kent-Southcente*,4191,b,1150
156 SeaTac - Southc*,4196,b,1156
156 SeaTac - Southc*,4197,b,1156
16 Meridian,4202,b,1016
16 Meridian,4203,b,1016
164 GGreen River Co*,4207,b,1164
164 GGreen River Co*,4208,b,1164
166 Highline C C to*,4209,b,1166
166 Highline C C to*,4210,b,1166
168 Timberlane - Ke*,4212,b,1168
168 Timberlane - Ke*,4213,b,1168
169 Renton to Kent *,4214,b,1169
169 Renton to Kent *,4215,b,1169
180 Auburn  Kent  S*,4224,b,1180
180 Auburn  Kent  S*,4226,b,1180
181 Green River CC/*,4227,b,1181
181 Green River CC/*,4228,b,1181
182 Federal Way-NE *,4229,b,1182
182 Federal Way-NE *,4230,b,1182
183 Kent/Federal Wa*,4231,b,1183
187 Federal Way/Twi*,4237,b,1187
187 Federal Way/Twi*,4239,b,1187
2 Route 2,4247,b,1002
2 Route 2,4248,b,1002
2 Route 2,4251,b,1002
2 Route 2,4252,b,1002
200 Issaquah Shuttle,4256,b,1200
200 Issaquah Shuttle,4257,b,1200
203 Shorewood Van S*,4262,b,1203
203 Shorewood Van S*,4264,b,1203
204 Island Crest Wy*,4266,b,1204
204 Island Crest Wy*,4267,b,1204
208 IssaTC/SnoqRidg*,4270,b,1208
208 IssaTC/SnoqRidg*,4271,b,1208
21 35  Av SW/Arbor *,4274,b,1021
21 35  Av SW/Arbor *,4275,b,1021
22 West Seattle/Whi*,4287,b,1022
22 West Seattle/Whi*,4288,b,1022
221 Eastgate\Redmond,4289,b,1221
221 Eastgate\Redmond,4292,b,1221
224 Fall City Redmo*,4293,b,1224
224 Fall City Redmo*,4294,b,1224
226 BTC Crossroads *,4295,b,1226
226 BTC Crossroads *,4297,b,1226
234 Bellevue/Kirkla*,4301,b,1234
234 Bellevue/Kirkla*,4302,b,1234
235 BTC To Kingsgat*,4303,b,1235
235 BTC To Kingsgat*,4304,b,1235
236 Woodinville/KTC*,4305,b,1236
236 Woodinville/KTC*,4306,b,1236
238 UWB Bothell CC/*,4308,b,1238
238 UWB Bothell CC/*,4309,b,1238
24 Magnolia via W G*,4310,b,1024
24 Magnolia via W G*,4312,b,1024
240 Bellevue\Renton,4314,b,1240
240 Bellevue\Renton,4315,b,1240
240 Bellevue\Renton,4318,b,1240
240 Bellevue\Renton,4319,b,1240
241 Eastgate Factor*,4320,b,1241
241 Eastgate Factor*,4321,b,1241
245 Factoria - Kirk*,4325,b,1245
245 Factoria - Kirk*,4328,b,1245
246 Bellevue/Somers*,4329,b,1246
246 Bellevue/Somers*,4330,b,1246
248 Redmond-Kirkland,4331,b,1248
248 Redmond-Kirkland,4332,b,1248
249 Bellevue/Overla*,4334,b,1249
249 Bellevue/Overla*,4335,b,1249
25 Laurelhurst-Lake*,4338,b,1025
25 Laurelhurst-Lake*,4339,b,1025
255 Seattle/Kirklan*,4342,b,1255
255 Seattle/Kirklan*,4343,b,1255
255 Seattle/Kirklan*,4346,b,1255
255 Seattle/Kirklan*,4347,b,1255
26 Latona,4350,b,1026
26 Latona,4351,b,1026
27 Yesler-Leschi Pa*,4360,b,1027
27 Yesler-Leschi Pa*,4361,b,1027
271 Issaquah to U D*,4362,b,1271
271 Issaquah to U D*,4364,b,1271
271 Issaquah to U D*,4366,b,1271
271 Issaquah to U D*,4367,b,1271
28 Broadview,4370,b,1028
28 Broadview,4371,b,1028
29 Ballard - West Q*,4374,b,1029
3 Route 3,4375,b,1003
3 Route 3,4376,b,1003
3 Route 3,4381,b,1003
3 Route 3,4382,b,1003
30 Sandpoint/U-Dist,4386,b,1030
30 Sandpoint/U-Dist,4387,b,1030
31 Magnolia to Univ*,4397,b,1031
31 Magnolia to Univ*,4400,b,1031
32 Seattle Center t*,4405,b,1032
32 Seattle Center t*,4406,b,1032
33 Ft Lawton,4407,b,1033
33 Ft Lawton,4410,b,1033
330 Lake City - Sho*,4411,b,1330
330 Lake City - Sho*,4413,b,1330
331 S03: Kenmore - *,4415,b,1331
331 S03: Kenmore - *,4417,b,1331
345 NTC - SCC,4420,b,1345
345 NTC - SCC,4421,b,1345
346 Aurora Village *,4422,b,1346
346 Aurora Village *,4423,b,1346
347 NTC - Mountlake*,4424,b,1347
347 NTC - Mountlake*,4425,b,1347
348 NTC - Richmond *,4426,b,1348
348 NTC - Richmond *,4427,b,1348
36 Jefferson Park/R*,4431,b,1036
36 Jefferson Park/R*,4433,b,1036
372 Woodinville/Uni*,4435,p,1372
372 Woodinville/Uni*,4436,p,1372
4 Judkins / E QA,4440,b,1004
4 Judkins / E QA,4443,b,1004
4 Judkins / E QA,4446,b,1004
4 Judkins / E QA,4449,b,1004
40 CBD-NGTC via Fre*,4450,b,1040
40 CBD-NGTC via Fre*,4451,b,1040
40 CBD-NGTC via Fre*,4453,b,1040
41 Lake City/Northg*,4457,b,1041
41 Lake City/Northg*,4459,b,1041
43 cbd/u-district,4462,b,1043
43 cbd/u-district,4463,b,1043
43 cbd/u-district,4466,b,1043
44 ballard/montlake,4469,b,1044
44 ballard/montlake,4470,b,1044
47 Summit,4473,b,1047
47 Summit,4476,b,1047
48 Loyal Heights/Mt*,4477,b,1048
48 Loyal Heights/Mt*,4480,b,1048
49 CBD-Cap Hill-U D*,4487,b,1049
49 CBD-Cap Hill-U D*,4490,b,1049
5 Greenwood/SCC/Nor*,4492,b,1005
5 Greenwood/SCC/Nor*,4494,b,1005
50 Seward Park/Alki,4495,b,1050
50 Seward Park/Alki,4496,b,1050
522 Seattle-Wdnville,4497,b,6522
540 Kirklnd-Univ Dst,4500,b,6540
542 Univ Dst-Redmond,4503,b,6542
545 Redmond-Seattle,4504,b,6545
545 Seattle-Redmond,4505,b,6545
545 Redmond to CBD *,4508,b,6545
550 Bellevue-Seattle,4512,b,6550
550 Seattle-Bellevue,4515,b,6550
554 Issaquah-Seattle,4517,b,6554
554 Seattle-Issaquah,4518,b,6554
60 Beacon Hill/Broa*,4524,b,1060
60 Beacon Hill/Broa*,4525,b,1060
61 Ballard - North *,4528,b,1061
61 Ballard - North *,4529,b,1061
65 NTC to UW,4533,b,1065
65 NTC to UW,4536,b,1065
66 5 & Main to NTC,4537,p,1066
66 5 & Main to NTC,4540,p,1066
67 Northgate to UW *,4541,b,1067
67 Northgate to UW *,4543,b,1067
68 Northgate to UW *,4547,b,1068
68 Northgate to UW *,4550,b,1068
7 Route 7,4553,b,1007
7 Route 7,4556,b,1007
7 Route 7,4557,b,1007
7 Route 7,4558,b,1007
70 University Distr*,4560,b,1070
70 University Distr*,4561,b,1070
70 University Distr*,4562,b,1070
70 University Distr*,4563,b,1070
71 View Ridge,4566,p,1071
71 View Ridge,4567,p,1071
72 Lake City,4570,p,1072
72 Lake City,4572,p,1072
73 Jackson Park,4575,p,1073
73 Jackson Park,4577,p,1073
73 Jackson Park,4579,p,1073
75 UW - NTC - Balla*,4581,b,1075
75 UW - NTC - Balla*,4583,b,1075
75 UW - NTC - Balla*,4584,b,1075
75 UW - NTC - Balla*,4587,b,1075
8 Cap.Hill/Denny Wy,4594,b,1008
8 Cap.Hill/Denny Wy,4595,b,1008
8 Cap.Hill/Denny Wy,4596,b,1008
9 broadway  /  rain*,4605,p,1009
9 broadway  /  rain*,4606,p,1009
901 Federal Way/Das*,4607,b,1901
901 Federal Way/Das*,4608,b,1901
903 Federal Way - S*,4609,b,1903
903 Federal Way - S*,4610,b,1903
906 Southcenter/Fai*,4612,b,1906
907 Black Diamond-M*,4613,b,1907
907 Black Diamond-M*,4614,b,1907
908 Renton Highland*,4615,b,1908
908 Renton Highland*,4616,b,1908
909 Highlands/Kenny*,4617,b,1909
909 Highlands/Kenny*,4618,b,1909
910 Supermall - Nor*,4619,b,1910
910 Supermall - Nor*,4620,b,1910
917 Auburn/Algona/P*,4623,b,1917
917 Auburn/Algona/P*,4624,b,1917
919 North and South*,4626,b,1919
919 North and South*,4627,b,1919
927 Issaquah DART,4628,b,1927
927 Issaquah DART,4629,b,1927
927 Issaquah DART,4630,b,1927
927 Issaquah DART,4631,b,1927
931 Redmond/Woodinv*,4634,b,1931
931 Redmond/Woodinv*,4635,b,1931
550 Bellevue,4749,b,6550
550 Bellevue,4750,b,6550
554 ST Issaquah - C*,4787,b,6554
100 Gig Harbor NB,4790,b,2100
10 Pearl Street NB,4793,b,2010
10 Pearl Street SB,4794,b,2010
11 Pt Defiance NB,4795,b,2011
11 Pt Defiance SB,4796,b,2011
13 N 30th Street EB,4797,b,2013
13 N 30th Street WB,4798,b,2013
14 N Proctor Dist EB,4799,b,2014
14 N Proctor Dist WB,4800,b,2014
16 UPS-TCC EB,4801,b,2016
16 UPS-TCC WB,4802,b,2016
1 6th Ave-Pacific NB,4803,b,2001
1 6th Ave-Pacific SB,4805,b,2001
202 72nd Street EB,4807,b,2202
202 72nd Street WB,4808,b,2202
204 Lkwd-Parklnd EB,4809,b,2204
204 Lkwd-Parklnd WB,4810,b,2204
206 Pac Hwy-Till NB,4812,b,2206
206 Pac Hwy-Till SB,4813,b,2206
212 Steilacoom EB,4814,b,2212
212 Steilacoom EB,4815,b,2212
212 Steilacoom WB,4816,b,2212
212 Steilacoom WB,4817,b,2212
214 Washington EB,4818,b,2214
214 Washington WB,4819,b,2214
28 S 12TH ST EB,4820,b,2028
28 S 12TH ST WB,4821,b,2028
2 Bridgprt-S 19th NB,4822,b,2002
2 Bridgprt-S 19th SB,4823,b,2002
300 S Tacoma Way NB,4825,b,2300
300 S Tacoma Way SB,4828,b,2300
3 Lakewood-Tacoma NB,4829,b,2003
3 Lakewood-Tacoma SB,4830,b,2003
400 Puyllp-Tacoma WB,4832,b,2400
400 Puyllp-Tacoma EB,4833,b,2400
402 Meridian NB,4834,b,2402
402 Meridian SB,4835,b,2402
409 Puyallup-72nd EB,4836,b,2409
409 Puyallup-72nd WB,4837,b,2409
410 112th St EB,4839,b,2410
410 112th St WB,4841,b,2410
41 Portland Ave NB,4842,b,2041
41 Portland Ave SB,4843,b,2041
42 McKinley Ave NB,4844,b,2042
42 McKinley Ave SB,4845,b,2042
45 Yakima NB,4846,b,2045
45 Yakima SB,4847,b,2045
48 Sheridan-M St NB,4850,b,2048
48 Sheridan-M St SB,4852,b,2048
500 Federal Way NB,4854,b,2500
500 Federal Way SB,4855,b,2500
503 Fife-Puyallup NB,4860,b,2503
503 Fife-Puyallup SB,4861,b,2503
51 Union Ave NB,4862,b,2051
51 Union Ave SB,4864,b,2051
52 TCC-Tac Mall EB,4865,b,2052
52 TCC-Tac Mall WB,4866,b,2052
53 University Plc EB,4867,b,2053
53 University Plc WB,4868,b,2053
54 38th St EB,4870,b,2054
54 38th St WB,4871,b,2054
55 Prklnd-TacMall NB,4872,b,2055
55 Prklnd-TacMall SB,4873,b,2055
560 WSea-SeaTac-Belv,4874,b,6560
560 Belv-SeaTac-WSea,4875,b,6560
566 Auburn-Overlake,4878,b,6566
566 Overlake-Auburn,4879,b,6566
56 56th St EB,4881,b,2056
56 56th St WB,4882,b,2056
574 Lkwd-Taco-SeaTac,4883,b,6574
574 SeaTac-Taco-Lkwd,4884,b,6574
578 Seattle/Puyallu*,4891,b,6578
578 Seattle/Puyallu*,4892,b,6578
57 Tacoma Mall NB,4893,b,2057
57 Tacoma Mall SB,4894,b,2057
586 Tacoma - U Dist*,4895,b,6586
590 Seattle ExpressN,4897,b,6590
594 Seattle ExpressN,4902,b,6594
594 Seattle ExpressS,4903,b,6594
100 Purdy Gig Harbo*,4907,b,2100
501 Milton-Federal *,4909,b,2501
501 Milton-Federal *,4910,b,2501
566 Auburn-OverlakeN,4911,b,6566
566 Auburn-OverlakeS,4912,b,6566
586 Tacoma - U Dist*,4916,b,6586
WSF EDMNDS-KNGSTN EB,4928,f,5999
WSF EDMNDS-KNGSTN WB,4929,f,5999
WSF FAUNTLR-SWRTH WB,4930,f,5999
WSF PT DEFI-TAHLQ SB,4931,f,5999
WSF PT DEFI-TAHLQ NB,4932,f,5999
WSF SEA-BAINB ISL EB,4933,f,5999
WSF SEA-BAINB ISL WB,4934,f,5999
WSF SEA-BREMERTON EB,4935,f,5999
WSF SEA-BREMERTON WB,4936,f,5999
WSF FAUNTLR-VASHN EB,4939,f,5999
WSF FAUNTLR-VASHN WB,4940,f,5999
WSF VASHN-STHWRTH EB,4941,f,5999
WSF VASHN-STHWRTH WB,4942,f,5999
LITE RL TCOMA CBD,4946,r,6995
LITE RL TCOMA CBD,4947,r,6995
 MNRL SEACTR-WSTLK *,4948,r,1999
 MNRL SEACTR-WSTLK *,4949,r,1999
LightRail SeaTac-Sea,4950,r,6996
LightRail Sea-Seatac,4951,r,6996
Foot Ferry Pt Or-Bre,4953,f,4999
Foot Ferry Bre-Pt Or,4954,f,4999
WSF FAUNTLR-SWRTH WB,4959,f,5999
desc needed,4978,b,6512
desc needed,4983,b,6535
desc needed,4984,b,6535
Swift NB,4985,b,3701
Swift SB,4986,b,3701
112 MLT P&R-Ash P&R,4991,b,3112
112 Ash P&R-MLT P&R,4994,b,3112
101 Aur Vill-Mar P&R,4995,b,3101
113 Ash Way P&R-Muk,4996,b,3113
113 Muk-Ash Way P&R,4997,b,3113
115 Aur Vill-Mar P&R,4998,b,3115
115 Mar P&R-Aur Vill,4999,b,3115
116 Edm-Silver Firs,5000,b,3116
116 Silver Firs-Edm,5001,b,3116
119 MLT P&R-Ash P&R,5002,b,3119
119 Ash P&R-MLT P&R,5003,b,3119
120 Lyn TC-CanPk P&R,5004,b,3120
120 CanPk P&R-Lyn TC,5005,b,3120
101 Mar P&R-Aur Vill,5006,b,3101
130 Edmonds-Lynn TC,5007,b,3130
130 Lynn TC-Edmonds,5008,b,3130
196 Edmonds-Ald Mall,5009,b,3196
196 Ald Mall-Edmonds,5010,b,3196
201 Lynn TC-Smoky Pt,5011,b,3201
201 Smoky Pt-Lynn TC,5012,b,3201
202 Lynn TC-Smoky Pt,5013,b,3202
202 Smoky Pt-Lynn TC,5014,b,3202
220 Smoky Pt-Arlngtn,5015,b,3220
220 Arlngtn-Smoky Pt,5016,b,3220
105 Both-Mariner P&R,5017,b,3105
222 Tulalip-Marysvil,5018,b,3222
222 Marysvil-Tulalip,5019,b,3222
240 Stanwd-Smokey Pt,5022,b,3240
240 Smokey Pt-Stanwd,5023,b,3240
105 Mariner P&R-Both,5028,b,3105
275 Everett-Monroe,5029,b,3275
275 Monroe-Everett,5030,b,3275
280 Evt-Gran Falls,5035,b,3280
280 Gran Falls-Evt,5037,b,3280
desc needed,5040,b,6512
desc needed,5041,b,3855
desc needed,5042,b,3860
desc needed,5043,b,3871
desc needed,5044,b,3270
270 Gold Bar-Monroe,5045,b,3270
11 Crosstown Ltd,5107,b,4011
11 Crosstown Ltd WB,5110,b,4011
12 Silverdale West,5113,b,4012
12 Silverdale West,5114,b,4012
17 Silvrdale East NB,5123,b,4017
17 Silvrdale East SB,5124,b,4017
20 Navy Yard City,5128,b,4020
21 Perry Avenue,5133,b,4021
21 Perry Avenue,5134,b,4021
23 Kariotis,5137,b,4023
24 Olympic College,5138,b,4024
25 East Park,5142,b,4025
26 Bay Vista,5144,b,4026
29 Trenton Avenue,5145,b,4029
29 Trenton Avenue,5146,b,4029
32 Poulsbo-Silvrdale,5148,b,4032
34 Bangor Shuttle,5153,b,4034
35 Old Town Shuttle,5154,b,4035
36 Ridgetop Shuttle,5156,b,4036
37 Fairgrnds Shuttle,5157,b,4037
41 Lincoln Road,5159,b,4041
4 Tremont,5160,b,4004
5 Sidney,5161,b,4005
86 Southwrth Shtl WB,5168,b,4086
8 Bethel,5171,b,4008
90 Bainbrdge-Poulsbo,5174,b,4090
90 Bainbrdge-Poulsbo,5175,b,4090
90 Poulsbo-Bainbr EB,5183,b,4090
92 Poulsbo-Kingston,5190,b,4092
9 South Park,5202,b,4009
43 Viking Ave.E,5210,b,4043
12 Mall Circulator,5214,b,7012
17 Mall Stn-Evt Stn,5216,b,7017
17 South to Mall St*,5217,b,7017
17 Mall Stn-Evt Stn,5218,b,7017
18 Mukilteo-Evt Stn,5220,b,7018
29 South to Mall St*,5222,b,7029
29 Coll San-Mall Stn,5224,b,7029
2 S Evt Circulator,5225,b,7002
3 Casino Rd-Evt Stn,5226,b,7003
3 Casino Rd-Evt Stn,5227,b,7003
3 South to W Casino*,5230,b,7003
3 Evt Stn-Casino Rd,5231,b,7003
4 N Evt Circulator,5235,b,7004
4 N Evt Circulator,5236,b,7005
17 Mall Stn-Evt Stn,5239,b,7701
17 Evt Stn-Mall Stn,5240,b,7701
7 Coll Stn-Mall Stn,5244,b,7007
7 Coll Stn-Mall Stn,5245,b,7007
8 Airport Rd-Evt Stn,5246,b,7008
8 Evt Stn-Airport Rd,5247,b,7008
18 Evt Stn-Mukilteo,5248,b,7018
13 Parkwood East Li*,5254,b,4013
86 Southworth Shutt*,5265,b,4086
90 Poulsbo/Bainbrid*,5269,b,4090
98 SLUSC Northbound,5315,b,1098
98 SLUSC Southbound,5316,b,1098
810-sb-Weekday,5416,b,3810
14SEP-Weekday-855-8*,5426,b,3810
