day,fhtindx1,fhtindx2,hhno,jtindex,parent,pdpurp,phtindx1,phtindx2,pno,subtrs,tardest,tarorig,tautocost,tautodist,tautotime,tdadtyp,tdpcl,tdtaz,tlvdest,tlvorig,tmodetp,toadtyp,toexpfac,topcl,totaz,tour,tpathtp,tripsh1,tripsh2
2,0,0,2206,0,0,3,0,0,1,0,1835,1915,0.0,4.0,17.07,4,1132724,2587,1900,1820,4,1,139.93,995603,2656,2,0,1,1
2,0,0,2206,0,0,5,0,0,1,0,2050,2100,0.0,1.29,8.51,4,449515,1823,2055,2034,3,1,139.93,995603,2656,3,0,1,1
1,0,0,2220,0,0,9,0,0,1,0,918,948,0.0,0.85,7.24,4,400066,890,945,915,3,1,284.85,455067,894,1,0,1,1
1,0,0,2220,0,0,1,0,0,2,0,711,1548,0.0,11.91,36.03,4,170416,403,1525,640,3,1,284.85,455067,894,1,0,2,1
2,0,0,2220,0,0,3,0,0,1,0,1413,1517,-1.0,-1.0,-1.0,4,0,-1,1420,1330,5,1,284.85,455067,894,1,0,3,2
2,0,0,2220,0,0,1,0,0,2,0,718,1532,0.0,11.91,36.03,4,170416,403,1454,651,4,1,284.85,455067,894,1,0,2,2
2,0,0,2220,0,0,8,0,0,2,0,1828,2026,0.0,11.58,24.33,4,174164,1055,1959,1801,3,1,284.85,455067,894,2,0,1,1
2,0,0,2220,0,0,3,0,0,3,0,1335,1930,0.0,1.32,8.61,4,269438,937,1340,1330,5,1,284.85,455067,894,1,0,1,3
1,0,0,2237,0,0,8,0,0,1,0,800,930,0.0,3.36,11.43,4,605468,3585,910,745,3,1,59.99,618034,3543,1,0,1,1
1,0,0,2237,0,0,4,0,0,2,0,1014,1100,0.0,5.96,15.55,4,652469,3530,1030,1000,3,1,59.99,618034,3543,1,0,2,1
1,0,0,2238,0,0,7,0,0,1,0,932,1312,0.0,1.61,9.62,4,60024,735,1210,926,3,1,61.78,567723,690,1,0,1,2
1,0,0,2238,0,0,5,0,0,2,0,1048,1208,0.0,16.75,50.93,4,302648,16,1110,1025,3,1,61.78,567723,690,1,0,1,3
2,0,0,2238,0,0,4,0,0,1,0,1330,1510,0.0,8.37,34.5,4,439447,564,1406,1316,3,1,61.78,567723,690,1,0,1,2
2,0,0,2238,0,0,3,0,0,2,0,1405,1535,0.0,38.68,60.94,4,720863,3259,1408,925,4,1,61.78,567723,690,1,0,5,2
1,0,0,2254,0,0,1,0,0,1,0,720,1701,0.0,17.49,37.68,2,260758,967,1610,645,3,1,115.88,294490,1152,1,0,1,1
1,0,0,2262,0,0,4,0,0,1,0,1936,2108,0.0,10.87,21.48,4,650108,3528,2030,1915,4,1,163.71,652543,3501,1,0,1,2
1,0,0,2262,0,0,5,0,0,1,0,1441,1550,0.0,0.73,5.01,4,662855,3491,1517,1434,3,1,163.71,652543,3501,2,0,2,2
1,0,0,2262,0,0,1,0,0,2,0,655,1540,0.0,26.87,44.16,2,626449,3643,1500,610,3,1,163.71,652543,3501,1,0,1,1
1,0,0,2262,0,0,5,0,0,2,0,1620,1630,0.0,1.32,7.33,4,592859,3500,1625,1615,3,1,163.71,652543,3501,2,0,1,1
2,0,0,2262,0,0,4,0,0,1,0,1702,1808,0.0,10.92,21.62,4,643097,3525,1740,1641,3,1,163.71,652543,3501,1,0,1,1
2,0,0,2262,0,0,1,0,0,2,0,700,1625,0.0,26.87,44.16,2,626449,3643,1455,615,3,1,163.71,652543,3501,1,0,1,2
2,0,0,2262,0,0,5,0,0,2,0,1936,2108,0.0,10.87,21.48,4,650108,3528,2030,1915,4,1,163.71,652543,3501,2,0,1,2
1,0,0,2318,0,0,8,0,0,1,0,757,845,0.0,3.17,16.0,4,75784,252,832,747,4,1,60.01,408593,325,1,0,1,1
1,0,0,2318,0,0,1,0,0,2,0,702,1730,0.0,5.21,19.21,2,143326,32,1715,645,3,1,60.01,408593,325,1,0,1,1
2,0,0,2318,0,0,1,0,0,1,0,747,1822,0.0,2.08,11.74,4,210649,256,1810,735,3,1,60.01,408593,325,1,0,1,1
1,0,0,2324,0,0,4,0,0,2,0,750,850,0.0,3.32,10.15,4,740269,3152,845,745,3,1,298.06,264596,1162,1,0,1,1
1,0,0,2324,0,0,4,0,0,2,0,945,1620,0.0,12.15,28.13,4,716978,3212,1530,855,3,1,298.06,264596,1162,2,0,1,2
1,0,0,2324,0,0,2,0,0,3,0,830,1530,0.0,2.37,11.35,3,411421,1158,1510,815,8,1,298.06,264596,1162,1,0,1,1
2,0,0,2324,0,0,4,0,0,1,0,925,1005,0.0,10.71,20.05,4,735338,3315,945,905,4,1,298.06,264596,1162,1,0,1,1
2,0,0,2324,1,0,6,0,0,1,0,1845,1905,0.0,4.15,18.21,4,43707,1184,1850,1825,5,1,298.06,264596,1162,2,0,1,1
2,0,0,2324,0,0,4,0,0,2,0,755,815,0.0,3.32,10.15,4,740269,3152,810,750,3,1,298.06,264596,1162,1,0,1,1
2,0,0,2324,0,0,2,0,0,3,0,830,1530,0.0,2.37,11.35,3,411421,1158,1510,815,8,1,298.06,264596,1162,1,0,1,1
2,0,0,2324,1,0,7,0,0,3,0,1845,1905,0.0,4.15,18.21,4,43707,1184,1850,1825,5,1,298.06,264596,1162,2,0,1,1
1,0,0,2325,0,0,1,0,0,1,0,915,1725,0.0,13.52,45.35,2,14704,105,1645,700,4,1,204.68,81422,1669,1,0,2,1
1,0,0,2325,0,0,4,0,0,1,0,1912,1936,0.0,1.47,7.6,4,479521,1663,1929,1905,3,1,204.68,81422,1669,2,0,1,1
2,0,0,2325,0,0,1,0,0,1,0,910,1845,0.0,13.52,45.35,2,14704,105,1635,832,6,1,204.68,81422,1669,1,3,1,2
2,0,0,2325,0,0,5,0,0,1,0,1903,1918,0.0,0.4,3.59,4,81417,1669,1913,1900,1,1,204.68,81422,1669,2,0,1,1
1,0,0,2327,0,0,3,0,0,1,0,1325,1411,0.0,3.3,16.55,4,511974,1733,1337,1315,5,1,141.32,511028,1753,1,0,1,4
1,0,0,2327,1,0,7,0,0,1,0,1753,2012,0.0,0.58,4.03,4,281976,1726,2010,1750,4,1,141.32,511028,1753,2,0,1,1
1,0,0,2327,0,0,3,0,0,2,0,1105,1120,0.0,3.3,16.55,4,511974,1733,1109,1051,4,1,141.32,511028,1753,1,0,1,1
1,0,0,2327,0,0,6,0,0,2,0,1144,1219,0.0,3.75,17.39,4,83228,1694,1210,1135,3,1,141.32,511028,1753,2,0,1,1
1,0,0,2327,1,0,7,0,0,2,0,1753,2012,0.0,0.58,4.03,4,281976,1726,2010,1750,4,1,141.32,511028,1753,3,0,1,1
2,0,0,2327,1,0,4,0,0,1,0,1357,1632,0.0,10.06,32.84,4,218947,1585,1453,1321,4,1,141.32,511028,1753,1,0,3,4
2,0,0,2327,0,0,9,0,0,1,0,1111,1227,0.0,3.3,16.55,4,219536,1733,1219,1055,3,1,141.32,511028,1753,2,0,2,1
2,0,0,2327,1,0,4,0,0,2,0,1357,1632,0.0,10.06,32.84,4,218947,1585,1453,1321,4,1,141.32,511028,1753,1,0,3,4
1,0,0,2329,1,0,4,0,0,1,0,820,1020,0.0,0.95,8.0,4,921743,3190,1015,815,1,1,198.57,851538,3203,1,0,1,1
1,0,0,2329,1,0,4,0,0,2,0,820,1020,0.0,0.95,8.0,4,921743,3190,1015,815,1,1,198.57,851538,3203,1,0,1,1
1,0,0,2330,0,0,1,0,0,1,0,815,1820,0.0,26.82,43.15,2,1145455,2399,1315,740,3,1,105.31,1092525,2105,1,0,1,3
1,0,0,2330,0,0,5,0,0,2,0,943,1120,0.0,8.44,16.64,4,1002184,2145,1022,914,3,1,105.31,1092525,2105,1,0,3,4
2,0,0,2330,0,0,1,0,0,1,0,812,1820,0.0,26.82,43.15,2,1145455,2399,1242,740,3,1,105.31,1092525,2105,1,0,1,3
1,0,0,2343,0,0,5,0,0,1,0,1045,1345,0.0,15.19,45.38,4,1166673,2172,1210,1015,4,1,131.36,1115698,2215,1,0,1,2
2,0,0,2343,0,0,4,0,0,1,0,1040,1130,0.0,3.51,12.58,4,1172130,2153,1100,1000,3,1,131.36,1115698,2215,1,0,2,2
1,0,0,2354,0,0,9,0,0,1,0,1005,1045,0.0,3.31,11.99,4,1148899,2425,1040,1000,3,1,164.72,981938,2383,1,0,1,1
1,0,0,2367,0,0,4,0,0,1,0,1730,2100,0.0,7.39,21.8,4,946475,2945,2045,1715,3,1,150.37,771706,3038,1,0,1,1
1,0,0,2367,0,0,8,0,0,1,0,1300,1445,0.0,5.68,21.28,4,849281,3019,1430,1230,3,1,150.37,771706,3038,2,0,1,1
1,0,0,2367,0,0,8,0,0,2,0,1030,1430,0.0,16.52,38.98,4,715970,3129,1400,1000,3,1,150.37,771706,3038,1,0,1,1
1,0,0,2426,0,0,1,0,0,1,0,715,1615,0.0,7.1,22.4,2,117147,709,1600,645,3,1,117.39,525479,927,1,0,1,1
1,0,0,2426,0,0,4,0,0,2,0,1400,1420,0.0,2.72,12.64,4,366307,976,1410,1320,3,1,117.39,525479,927,1,0,2,1
2,0,0,2426,0,0,1,0,0,1,0,708,1623,0.0,7.1,22.4,2,117147,709,1600,645,3,1,117.39,525479,927,1,0,1,1
2,0,0,2426,0,0,4,0,0,1,0,1710,1925,0.0,3.74,14.68,4,278640,974,1909,1655,4,1,117.39,525479,927,2,0,1,1
