day,fhtindx1,fhtindx2,hhno,id,jtindex,parent,pdpurp,person_day_id,person_id,phtindx1,phtindx2,pno,subtrs,tardest,tarorig,tautocost,tautodist,tautotime,tdadtyp,tdpcl,tdtaz,tlvdest,tlvorig,tmodetp,toadtyp,toexpfac,topcl,totaz,tour,tpathtp,tripsh1,tripsh2
1,0,0,14101307,5987,0,0,2,4540,4540,0,0,3,0,560,725,0.380827045455,1.90413522727,12.8233287622,3,476691,2827,700,530,5,1,390.3635,498649,2842,1,1,4,4
1,0,0,14101307,5988,0,0,3,4540,4540,0,0,3,0,1150,1160,0.416846060606,2.08423030303,12.4031181818,4,487040,2904,1150,1140,5,1,390.3635,498649,2842,2,1,2,2
1,0,0,14101307,5991,0,0,5,4541,4541,0,0,4,0,600,655,0.399852272727,1.99926136364,9.74274196231,4,515654,2827,645,530,5,1,390.3635,498649,2842,3,1,8,2
1,0,0,14101307,5990,0,0,4,4541,4541,0,0,4,0,690,725,0.374366439394,1.87183219697,12.6269358372,4,476873,2782,700,680,5,1,390.3635,498649,2842,2,1,2,4
1,0,0,14101307,5989,0,0,3,4541,4541,0,0,4,0,1150,1160,0.416846060606,2.08423030303,12.4031181818,4,487040,2904,1150,1140,5,1,390.3635,498649,2842,1,1,2,2
1,0,0,14101306,5982,0,0,1,4536,4536,0,0,1,0,960,1060,0.952,4.76,12.26,4,376949,3492,970,940,3,1,229.103524861,280853,3497,1,1,2,10
1,0,0,14101305,5981,0,0,1,4535,4535,0,0,1,0,450,1200,1.374,6.87,23.84,2,196,3070,860,435,3,1,639.344624422,416514,3074,1,1,2,6
1,0,0,14101304,5979,0,0,5,4533,4533,0,0,1,0,550,585,0.408977272727,2.04488636364,12.0378216123,4,611670,3430,575,540,3,1,321.691394052,608534,3430,1,1,2,2
1,0,0,14101304,5980,0,0,2,4534,4534,0,0,2,0,550,960,0.742,3.71,11.64,3,528680,3405,940,535,8,1,344.662125,608534,3430,1,1,2,2
1,0,0,14101303,5976,0,0,1,4530,4530,0,0,1,0,765,1100,1.278,6.39,15.03,2,417023,2753,975,630,4,1,459.103328221,395661,2714,1,1,4,4
1,0,0,14101303,5977,0,0,1,4531,4531,0,0,2,0,475,1175,5.563,16.565,31.66,2,439473,2991,1155,450,3,1,454.51289749,395661,2714,1,1,2,2
1,0,0,14101303,5978,0,0,7,4532,4532,0,0,3,0,650,1100,2.194,10.97,23.98,4,412619,2753,1080,630,4,1,440.91175,395661,2714,1,1,2,2
1,0,0,14101302,5975,0,0,7,4528,4528,0,0,1,0,590,1035,0.672,3.36,9.145,4,391482,2714,735,575,3,1,126.458182067,395817,2733,1,1,2,8
1,0,0,14101301,5973,0,0,1,4526,4526,0,0,1,0,480,1070,-1.0,-1.0,-1.0,2,0,-1,985,425,7,1,159.417663069,528622,3404,1,3,4,4
1,0,0,14101301,5974,0,0,5,4527,4527,0,0,2,0,460,480,0.808,4.04,11.215,4,586360,3408,470,445,3,1,163.535695931,528622,3404,1,1,2,2
1,0,0,14101300,5962,0,0,3,4521,4521,0,0,1,0,490,500,0.552539545455,2.76269772727,13.4778337723,4,473254,3086,495,485,5,1,352.561894826,482204,3085,1,1,2,2
1,0,0,14101300,5963,0,0,3,4521,4521,0,0,1,0,530,535,0.0464772727273,0.232386363636,1.64078856749,4,468987,3085,530,525,5,1,352.561894826,482204,3085,2,1,2,2
1,0,0,14101300,5965,0,0,5,4521,4521,0,0,1,0,575,600,0.82,4.1,12.285,4,1250142,1142,590,565,4,1,352.561894826,482204,3085,4,1,2,2
1,0,0,14101300,5964,0,0,3,4521,4521,0,0,1,0,1000,1010,0.552539545455,2.76269772727,13.4778337723,4,473254,3086,1005,995,4,1,352.561894826,482204,3085,3,1,2,2
1,0,0,14101300,5966,0,0,1,4522,4522,0,0,2,0,445,1020,4.427,22.135,50.89,2,696612,843,960,385,3,1,341.263136178,482204,3085,1,1,2,2
1,0,0,14101300,5967,0,0,2,4523,4523,0,0,3,0,880,1010,0.552539545455,2.76269772727,13.5165631797,3,473254,3086,1005,485,8,1,324.47075,482204,3085,1,1,6,2
1,0,0,14101300,5968,0,0,2,4524,4524,0,0,4,0,530,945,0.0464772727273,0.232386363636,1.64078856749,3,468987,3085,940,525,5,1,324.47075,482204,3085,1,1,2,2
1,0,0,14101300,5970,0,0,4,4525,4525,0,0,5,0,490,500,0.552539545455,2.76269772727,13.4778337723,4,473254,3086,495,485,5,1,324.47075,482204,3085,2,1,2,2
1,0,0,14101300,5971,0,0,4,4525,4525,0,0,5,0,530,535,0.0464772727273,0.232386363636,1.64078856749,4,468987,3085,530,525,5,1,324.47075,482204,3085,3,1,2,2
1,0,0,14101300,5972,0,0,5,4525,4525,0,0,5,0,575,600,0.82,4.1,12.285,4,1250142,1142,590,565,4,1,324.47075,482204,3085,4,1,2,2
1,0,0,14101300,5969,0,0,2,4525,4525,0,0,5,0,780,955,0.676,3.38,11.015,3,478392,3092,935,735,8,1,324.47075,482204,3085,1,1,2,2
1,0,0,14101298,5959,0,0,1,4516,4516,0,0,1,0,435,1110,5.147,25.735,65.81,2,1228833,1346,1020,390,3,1,365.095803997,615133,3410,1,1,2,2
1,0,0,14101298,5960,0,0,2,4517,4517,0,0,2,0,440,885,0.405182171717,2.02591085859,8.63622824768,3,595655,3424,865,420,8,1,391.165875,615133,3410,1,1,2,2
1,0,0,14101298,5961,0,0,2,4518,4518,0,0,3,0,395,920,0.23678875,1.18394375,4.67344700679,3,590529,3380,915,390,4,1,391.165875,615133,3410,1,1,2,2
1,0,0,14101297,5955,0,0,1,4512,4512,0,0,1,0,405,1030,2.86,14.3,38.13,2,895651,330,990,360,3,1,185.158699327,230534,2615,1,1,2,2
1,0,0,14101297,5956,0,0,1,4513,4513,0,0,2,0,450,990,2.37,11.85,28.875,2,997256,2617,960,410,5,1,186.141952346,230534,2615,1,1,6,2
1,0,0,14101297,5957,0,0,2,4514,4514,0,0,3,0,425,915,0.225191287879,1.12595643939,5.47429297439,3,235245,2617,880,410,8,1,199.433625,230534,2615,1,1,4,2
1,0,0,14101297,5958,0,0,2,4515,4515,0,0,4,0,420,935,0.335303030303,1.67651515152,7.67843939394,3,239606,2617,915,410,8,1,199.433625,230534,2615,1,1,2,2
1,0,0,14101296,5952,0,0,1,4510,4510,0,0,1,0,760,1065,3.669,18.345,44.18,4,1208314,2587,970,695,3,1,210.170962683,210762,2582,1,1,4,6
1,0,0,14101296,5953,0,0,7,4510,4510,0,0,1,0,1110,1315,0.400363964646,2.00181982323,8.87984827791,4,210263,2638,1310,1105,3,1,210.170962683,210762,2582,2,1,2,2
1,0,0,14101296,5954,0,0,7,4511,4511,0,0,2,0,1160,1335,2.711,13.555,35.465,4,828450,327,1305,1125,3,1,211.539386508,210762,2582,1,1,2,2
1,0,0,14101295,5950,0,0,6,4508,4508,0,0,1,0,555,625,1.638,8.19,20.725,3,165432,2542,605,535,5,1,230.566029116,190582,2468,2,1,2,2
1,0,0,14101295,5949,0,0,4,4508,4508,0,0,1,0,1125,1245,2.718,13.59,26.69,4,866972,11,1215,1095,3,1,230.566029116,190582,2468,1,1,2,2
1,0,0,14101295,5951,0,0,5,4509,4509,0,0,2,0,905,940,0.241831919192,1.20915959596,5.90226464646,4,196764,2476,935,900,3,1,232.16770126,190582,2468,1,1,2,2
1,0,0,14101294,5947,0,0,7,4506,4506,0,0,1,0,605,850,1.965,9.825,21.84,4,955697,1795,730,585,3,1,166.964409334,152308,2453,1,1,2,6
1,0,0,14101294,5948,0,0,4,4507,4507,0,0,2,0,590,835,2.222,11.11,26.875,4,220284,2589,745,555,3,1,165.812559864,152308,2453,1,1,2,8
1,0,0,14101293,5942,0,0,1,4503,4503,0,0,1,0,560,1015,0.982,4.91,11.23,2,88954,2342,815,455,3,1,910.780204487,77019,2238,1,1,4,4
1,0,0,14101293,5943,0,0,6,4503,4503,0,0,1,0,1075,1140,0.246153383838,1.23076691919,7.11618958065,3,75264,2244,1130,1070,4,1,910.780204487,77019,2238,2,1,2,2
1,0,0,14101293,5944,0,0,1,4504,4504,0,0,2,0,360,1070,5.273,26.365,40.215,2,85095,2371,1025,315,3,1,904.888472681,77019,2238,1,1,4,2
1,0,0,14101293,5945,0,0,6,4504,4504,0,0,2,0,1075,1140,0.246153383838,1.23076691919,7.11618958065,4,75264,2244,1130,1070,4,1,904.888472681,77019,2238,2,1,2,2
