,pollutant_name,veh_type,total_daily_tons,vmt,city
7,CO2 Equivalent,light,706.0696143,1584686.117,Bothell
8,CO2 Equivalent,medium,56.95539044,78390.21148,Bothell
9,Composite NonECPM,heavy,0.002803641,35996.2292,Bothell
10,Composite NonECPM,light,0.006907723,1584686.117,Bothell
11,Composite NonECPM,medium,0.00124468,78390.21148,Bothell
12,Elemental Carbon,heavy,0.009004733,35996.2292,Bothell
13,Elemental Carbon,light,0.005070402,1584686.117,Bothell
14,Elemental Carbon,medium,0.001843663,78390.21148,Bothell
15,H20 Aerosol,heavy,0,35996.2292,Bothell
16,H20 Aerosol,light,0,1584686.117,Bothell
17,H20 Aerosol,medium,0,78390.21148,Bothell
18,Methane,heavy,0.003212933,35996.2292,Bothell
19,Methane,light,0.049121422,1584686.117,Bothell
20,Methane,medium,0.011044777,78390.21148,Bothell
21,N20,heavy,0.000109962,35996.2292,Bothell
22,N20,light,0.012686441,1584686.117,Bothell
23,N20,medium,0.00249992,78390.21148,Bothell
24,NOx,heavy,0.401375976,35996.2292,Bothell
25,NOx,light,0.800244232,1584686.117,Bothell
26,NOx,medium,0.14128686,78390.21148,Bothell
27,Non-methane HCs,heavy,0.013482503,35996.2292,Bothell
28,Non-methane HCs,light,0.277897647,1584686.117,Bothell
29,Non-methane HCs,medium,0.042565133,78390.21148,Bothell
30,PM10 Brakewear,heavy,0,35996.2292,Bothell
31,PM10 Brakewear,light,0,1584686.117,Bothell
32,PM10 Brakewear,medium,0,78390.21148,Bothell
33,PM10 Exhaust,heavy,0.012835279,35996.2292,Bothell
34,PM10 Exhaust,light,0.013418328,1584686.117,Bothell
35,PM10 Exhaust,medium,0.003402654,78390.21148,Bothell
36,PM10 Tirewear,heavy,0,35996.2292,Bothell
37,PM10 Tirewear,light,0,1584686.117,Bothell
38,PM10 Tirewear,medium,0,78390.21148,Bothell
39,PM10 Total,heavy,0.021401833,107988.6876,Bothell
40,PM10 Total,light,0.10067163,4754058.351,Bothell
41,PM10 Total,medium,0.009189217,235170.6344,Bothell
42,PM25 Brakewear,heavy,0,35996.2292,Bothell
43,PM25 Brakewear,light,0,1584686.117,Bothell
44,PM25 Brakewear,medium,0,78390.21148,Bothell
45,PM25 Exhaust,heavy,0.011808375,35996.2292,Bothell
46,PM25 Exhaust,light,0.011978127,1584686.117,Bothell
47,PM25 Exhaust,medium,0.003088343,78390.21148,Bothell
48,PM25 Tirewear,heavy,0,35996.2292,Bothell
49,PM25 Tirewear,light,0,1584686.117,Bothell
50,PM25 Tirewear,medium,0,78390.21148,Bothell
51,PM25 Total,heavy,0.012913404,107988.6876,Bothell
52,PM25 Total,light,0.023346592,4754058.351,Bothell
53,PM25 Total,medium,0.003838861,235170.6344,Bothell
54,Sulfate Particulate,heavy,0.000468378,35996.2292,Bothell
55,Sulfate Particulate,light,0.000326316,1584686.117,Bothell
56,Sulfate Particulate,medium,0.000163687,78390.21148,Bothell
57,Total Energy,heavy,1000898.761,35996.2292,Bothell
58,Total Energy,light,9749445.157,1584686.117,Bothell
59,Total Energy,medium,772025.5051,78390.21148,Bothell
60,Total Gaseous HCs,heavy,0.016695484,35996.2292,Bothell
61,Total Gaseous HCs,light,0.327268955,1584686.117,Bothell
62,Total Gaseous HCs,medium,0.053652751,78390.21148,Bothell
63,VOCs,heavy,0.015196698,35996.2292,Bothell
64,VOCs,light,0.238236793,1584686.117,Bothell
65,VOCs,medium,0.036192886,78390.21148,Bothell
0,Atmospheric CO2,heavy,6.298284276,2956.174177,Burien
1,Atmospheric CO2,light,210.7345557,452291.5104,Burien
2,Atmospheric CO2,medium,13.65647599,15470.58742,Burien
3,CO,heavy,0.012014183,2956.174177,Burien
4,CO,light,3.073844893,452291.5104,Burien
5,CO,medium,0.448185463,15470.58742,Burien
6,CO2 Equivalent,heavy,6.312695995,2956.174177,Burien
7,CO2 Equivalent,light,213.7615197,452291.5104,Burien
8,CO2 Equivalent,medium,14.47489053,15470.58742,Burien
9,Composite NonECPM,heavy,0.000242313,2956.174177,Burien
10,Composite NonECPM,light,0.003024965,452291.5104,Burien
11,Composite NonECPM,medium,0.000500996,15470.58742,Burien
12,Elemental Carbon,heavy,0.000763906,2956.174177,Burien
13,Elemental Carbon,light,0.002703299,452291.5104,Burien
14,Elemental Carbon,medium,0.000611466,15470.58742,Burien
15,H20 Aerosol,heavy,0,2956.174177,Burien
16,H20 Aerosol,light,0,452291.5104,Burien
17,H20 Aerosol,medium,0,15470.58742,Burien
18,Methane,heavy,0.000382658,2956.174177,Burien
19,Methane,light,0.025755661,452291.5104,Burien
20,Methane,medium,0.007654317,15470.58742,Burien
21,N20,heavy,1.63E-05,2956.174177,Burien
22,N20,light,0.007997144,452291.5104,Burien
23,N20,medium,0.002104235,15470.58742,Burien
24,NOx,heavy,0.03507066,2956.174177,Burien
25,NOx,light,0.269502275,452291.5104,Burien
26,NOx,medium,0.048159541,15470.58742,Burien
27,Non-methane HCs,heavy,0.001408202,2956.174177,Burien
28,Non-methane HCs,light,0.17073057,452291.5104,Burien
29,Non-methane HCs,medium,0.030108653,15470.58742,Burien
30,PM10 Brakewear,heavy,0,2956.174177,Burien
31,PM10 Brakewear,light,0,452291.5104,Burien
32,PM10 Brakewear,medium,0,15470.58742,Burien
33,PM10 Exhaust,heavy,0.001093724,2956.174177,Burien
34,PM10 Exhaust,light,0.006444731,452291.5104,Burien
35,PM10 Exhaust,medium,0.001239843,15470.58742,Burien
36,PM10 Tirewear,heavy,0,2956.174177,Burien
37,PM10 Tirewear,light,0,452291.5104,Burien
38,PM10 Tirewear,medium,0,15470.58742,Burien
39,PM10 Total,heavy,0.001989707,8868.522531,Burien
40,PM10 Total,light,0.029824112,1356874.531,Burien
41,PM10 Total,medium,0.002278426,46411.76226,Burien
42,PM25 Brakewear,heavy,0,2956.174177,Burien
43,PM25 Brakewear,light,0,452291.5104,Burien
44,PM25 Brakewear,medium,0,15470.58742,Burien
45,PM25 Exhaust,heavy,0.001006218,2956.174177,Burien
46,PM25 Exhaust,light,0.005728264,452291.5104,Burien
